Palavra,Polaridade
carnavalesco,-1
carniceiro,-1
carola,1
carrancudo,-1
casmurrice,-1
casmurro,-1
casquilho,-1
cassete,-1
castiço,1
castigado,-1
castigador,-1
castigar,1
casto,1
castração,-1
castrador,-1
castrar,1
catalepsia,-1
catano,-1
cataplexia,-1
catarro,-1
catastrófico,-1
catatonia,-1
categórico,1
catinguento,-1
cativante,1
cativar,1
cativo,-1
caturra,-1
caturrice,-1
causador,-1
causticação,-1
causticante,-1
causticidade,-1
cáustico,-1
cauteloso,1
cauto,1
cavalheiresco,1
cavalheirismo,1
cavalheiro,1
cavernícola,-1
cavernoso,-1
caviloso,-1
ceder,-1
cego,-1
cegueira,-1
cegueta,-1
célebre,1
celerado,-1
celestial,1
censurado,-1
cepo,-1
cercado,-1
certeiro,1
certificado,1
certo nas contas,1
certo,1
chalaceiro,-1
chalado,-1
chamar os bois pelos nomes,1
chamativo,1
chamuscado,-1
chanfrado,-1
chantagista,-1
charlatanice,-1
charlatão,-1
charme,1
charmoso,1
chateado,-1
chatice,-1
chato,-1
chauvinismo,-1
chauvinista,-1
chavão,-1
cheio de nove horas,-1
cheirar a mofo,-1
cheiroso,1
chibante,-1
chicaneiro,-1
chico esperto,-1
chicoteador,-1
chifrudo,-1
chinesada,-1
chinesice,-1
chinfrim,-1
chinfrineiro,-1
chique,1
chocalheiro,-1
chocar,-1
chocarreiro,-1
chochice,-1
chocho,-1
choco,-1
choné,-1
choramingão,-1
choramingar,-1
choramingas,-1
chorão,-1
chorar sobre o leite derramado,-1
chorar,-1
choroso,-1
chulo,-1
chumbado,-1
chumbar,-1
chunga,-1
chupado,-1
chupador,-1
chupismo,-1
chupista,-1
ciente,1
cigano,-1
cilindrado,-1
cilíndrico,-1
cínico,-1
cioso,-1
circunspecto,1
cisma,-1
cismado,-1
cismático,-1
ciúme,-1
ciumento,-1
cívico,1
civilizado,1
clamoroso,-1
clandestino,-1
clarificador,1
clarividência,1
clarividente,1
claudicante,-1
claustrofobia,-1
clemência,1
clemente,1
cleptomania,-1
cleptomaníaco,-1
cleptómano,-1
coagido,-1
coagir,-1
coartado,-1
cobarde,-1
cobardia,-1
cobardola,-1
cobiça,-1
cobiçoso,-1
cocainomania,-1
cocainómano,-1
coercivo,-1
coerência,1
coerente,1
coeso,1
cogitabundo,-1
cogitação,-1
cogitativo,-1
coio,-1
coitado,-1
colaboracionista,-1
colapso,-1
cólera,-1
colérico,-1
colocar o dedo na ferida,1
comandita,-1
combalido,-1
combalimento,-1
combater o desemprego,1
comédia,-1
comedido,1
comedor,-1
comer gato por lebre,-1
comer o pão que o diabo amassou,-1
comichento,-1
comichoso,-1
comilão,-1
comodismo,-1
comodista,-1
compactuar,-1
comparsa,-1
compassivo,1
compelido,-1
compelir,-1
competência,1
competente,1
compincha,1
complacência,1
complacente,1
complexado,-1
complicado,-1
complicar a vida a,1
composto,1
comprado,-1
comprar gato por lebre,-1
compreensão,1
compreensível,1
compreensivo,1
comprometedor,-1
compulsivo,-1
compungido,-1
comuna,-1
comunicativo,1
conceituado,1
conceituoso,-1
concertado,1
conciliador,1
conciso,1
concordante,1
concreto,1
condenado,-1
condenável,-1
condescendência,-1
condoído,-1
condoreiro,-1
confiança,1
confiante,1
confiável,1
conflituosidade,-1
conflituoso,-1
conformado,-1
conformar-se,-1
conformista,-1
confortador,1
confortante,1
confrangedor,-1
confranger-se,-1
confrontar,1
confundido,-1
confundir alhos com bugalhos,-1
confundir-se,-1
confusão,-1
confuso,-1
congelado,-1
congestão,-1
congestionado,-1
congruência,1
congruente,1
conhecedor,1
conivente,-1
conluiado,-1
conquistar terreno a,1
conquistar,1
consagrado,1
consciência,1
consciencioso,1
consciente,1
cônscio,1
conseguir um grande feito,1
consentâneo,1
consequente,1
consertado,1
conservado,1
considerativo,1
consistente,1
conspicuidade,1
conspícuo,1
conspiração,-1
conspirador,-1
conspirativo,-1
conspurcar,-1
constante,1
consternação,-1
consternado,-1
consternador,-1
consternar,-1
constipado,-1
constrangedor,-1
constranger,-1
constrangido,-1
constrangimento,-1
construtivo,1
consumado,1
consumido,-1
consumir-se,-1
consumista,-1
contagiado,-1
contagioso,-1
contaminar,-1
contendedor,-1
contendente,-1
contentar-se com pouco,-1
contente,1
contestado,-1
contido,-1
contingente,-1
contorcer-se,-1
contracto,-1
contradizer-se,-1
contraído,-1
